listing_id,town,block,flat_type,price,size_sqm,floor_range,lease_remaining,postal,full_address,lat,lng
15,Bukit Batok,231,3NG,450000,67,middle,57,650231,231 BUKIT BATOK EAST AVENUE 5 GOMBAK GARDENS SINGAPORE 650231,1.349082549983839,103.7545181861148
16,Bukit Panjang,181,4PA,795000,94,low,76,670181,181 PENDING ROAD SINGAPORE 670181,1.3796,103.7742
17,Bukit Panjang,181,4PA,795000,94,middle,76,670181,181 PENDING ROAD SINGAPORE 670181,1.3796,103.7742
18,Bukit Panjang,172,4A,700000,101,high,69,670172,172 PENDING ROAD SINGAPORE 670172,1.3786,103.7751
19,Bukit Panjang,636B,4A,669999,92,high,87,671636,636B SEGAR ROAD SINGAPORE 671636,1.3801,103.7699
20,Bukit Panjang,476,4PA,540000,91,high,73,670476,476 BUKIT PANJANG RING ROAD SINGAPORE 670476,1.3779,103.7761
21,Bukit Timah,14,5I,1150000,122,middle,60,588144,14 UPPER BUKIT TIMAH VIEW RIDGEVALE GARDENS SINGAPORE 588144,1.347918386461866,103.770576441376
22,Bukit Timah,3,4STD,580000,91,low,46,588133,3 UPPER BUKIT TIMAH VIEW BUKIT REGENCY SINGAPORE 588133,1.346703571863332,103.7712881813492
23,Bukit Timah,12,4A,968000,104,middle,61,590012,12 TOH YI DRIVE PCF SPARKLETOTS PRESCHOOL @ BUKIT TIMAH 12 (CC) SINGAPORE 590012,1.338402743403606,103.772685810097
24,Bukit Timah,3,4NG,650000,91,high,46,588133,3 UPPER BUKIT TIMAH VIEW BUKIT REGENCY SINGAPORE 588133,1.346703571863332,103.7712881813492
25,Bukit Timah,5,4A,980000,108,high,62,588134,5 UPPER BUKIT TIMAH VIEW BUKIT REGENCY SINGAPORE 588134,1.346020517318065,103.7714716101935
26,Clementi,302,4NG,598000,92,high,52,120302,302 CLEMENTI AVENUE 4 CLEMENTI MEADOWS SINGAPORE 120302,1.321738637474622,103.7649102299922
27,Clementi,340,5I,819888,121,high,51,120340,340 CLEMENTI AVENUE 5 SINGAPORE 120340,1.318728754232743,103.7700712563301
28,Clementi,410,4NG,638888,97,high,50,120410,410 CLEMENTI AVENUE 1 SINGAPORE 120410,1.3130,103.7643
29,Clementi,117,4A,780000,104,middle,57,597150,117 SUNSET WAY CLEMENTI PARK SINGAPORE 597150,1.328381470367055,103.7664232925412
30,Clementi,414,5I,788888,125,high,50,120414,414 CLEMENTI AVENUE 1 SINGAPORE 120414,1.3125,103.7651
31,Hougang,129,5A,780000,132,low,58,530129,129 HOUGANG AVENUE 1 SINGAPORE 530129,1.3712,103.8912
32,Hougang,979B,4A,575000,90,middle,74,531979,979B HOUGANG STREET 91 SINGAPORE 531979,1.3731,103.8899
33,Hougang,111,EM,1028000,133,high,55,530111,111 HOUGANG AVENUE 1 SINGAPORE 530111,1.354985764695163,103.8885574597542
34,Hougang,943,5I,788000,120,high,70,530943,943 HOUGANG STREET 92 SINGAPORE 530943,1.373869610023261,103.880562714742
35,Hougang,306,5A,730000,134,middle,55,530306,306 HOUGANG AVENUE 5 SINGAPORE 530306,1.367197636812796,103.8954965604428
36,Jurong East,101,3NG,530000,68,middle,55,600101,101 JURONG EAST STREET 13 JURONG EAST VILLE SINGAPORE 600101,1.337011007622944,103.7387873140984
37,Jurong East,285C,EM,938888,144,low,70,603285,285C JURONG EAST STREET 21 SINGAPORE 603285,1.3402,103.7231
38,Jurong East,106,5I,680000,120,low,55,600106,106 JURONG EAST STREET 13 JURONG EAST VILLE SINGAPORE 600106,1.337249650528241,103.7376746509263
39,Jurong East,329,3A,430000,74,middle,55,600329,329 JURONG EAST AVENUE 1 SINGAPORE 600329,1.3501398862341,103.7299365873905
40,Jurong East,305,5I,610000,121,middle,55,600305,305 JURONG EAST STREET 32 HONG KAH EAST GARDEN SINGAPORE 600305,1.345436567635461,103.7352405717003
41,Kallang,102,5A,798000,118,middle,54,330102,102 KALLANG BAHRU SINGAPORE 330102,1.3121,103.8712
42,Kallang,14,3NG,700000,103,high,57,339569,14 JALAN LEMBAH KALLANG SINGAPORE 339569,1.314599503000177,103.8628271829414
43,Kallang,112,5I,1090000,130,high,59,321112,112 WHAMPOA ROAD PCF SPARKLETOTS PRESCHOOL @ WHAMPOA BLK 112 (KN) SINGAPORE 321112,1.32600154062316,103.8567322059891
44,Kallang,93,3I,399000,65,high,46,320093,93 WHAMPOA DRIVE WHAMPOA VIEW SINGAPORE 320093,1.322276066630031,103.8547999179422
45,Kallang,10A,4PA,1138888,93,high,89,327720,10A WHAMPOA DRIVE SINGAPORE 327720,1.322505360349781,103.8534394571185
46,Marine Parade,33,3I,448000,65,low,47,440033,33 MARINE CRESCENT MARINE CRESCENT VILLE SINGAPORE 440033,1.302648966066279,103.9121847845575
47,Marine Parade,34,3I,410000,59,low,47,440034,34 MARINE CRESCENT MARINE CRESCENT VILLE SINGAPORE 440034,1.304149640025478,103.9121239666986
